X,Y,Name,description
30.351877,-2.0800327,Cyarugaju 23,
30.352346,-2.0799701,Cyarugaju 3,
30.351062,-2.0796709,Cyarugaju 8,
30.35159,-2.0794317,Cyarugaju 24,
30.351798,-2.0792614,Cyarugaju 25,
30.35241,-2.0788936,Cyarugaju 2,
30.352293,-2.0786583,Cyarugaju 71,
30.353341,-2.078722,Cyarugaju 21,
30.3535,-2.0786386,Cyarugaju 20,
30.353633,-2.0785119,Cyarugaju 19,
30.353537,-2.0780609,Cyarugaju 1,
30.353466,-2.0763177,Cyarugaju 14,
30.353368,-2.0759859,Cyarugaju 16,
30.353313,-2.0758395,Cyarugaju 13,
30.352599,-2.0752019,Cyarugaju 12,
30.352516,-2.0758787,Cyarugaju 26,
30.352386,-2.0759538,Cyarugaju 17,
30.350365,-2.0761582,Cyarugaju 69,
30.352008,-2.0748782,Cyarugaju 77,
30.3532,-2.0766872,Cyarugaju 34,
30.354243,-2.0796226,Cyarugaju 5,
30.352174,-2.080215,Cyarugaju 55,
30.350922,-2.0799818,Cyarugaju 56,
30.351729,-2.0812828,Cyarugaju 57,
30.349861,-2.0823664,Cyarugaju 58,
30.351177,-2.0807099,Cyarugaju 43,
30.350704,-2.0808677,Cyarugaju 44,
30.350175,-2.0807545,Cyarugaju 41,
30.350052,-2.0804804,Cyarugaju 39,
30.350253,-2.0802499,Cyarugaju 38,
30.350083,-2.0802043,Cyarugaju 40,
30.352439,-2.0793687,Cyarugaju 36,
30.352325,-2.0795918,Cyarugaju 54,
30.352811,-2.0783394,Cyarugaju 45,
30.352985,-2.0780325,Cyarugaju 35,
30.353526,-2.077497,Cyarugaju 59,
30.353292,-2.0775811,Cyarugaju 60,
30.353293,-2.0756047,Cyarugaju 61,
30.352496,-2.0752495,Cyarugaju 65,
30.352377,-2.0751483,Cyarugaju 62,
30.354018,-2.0764259,Cyarugaju 73,
30.354056,-2.0768373,Cyarugaju 67,
30.353976,-2.0774595,Cyarugaju 72,
30.353991,-2.0776056,Cyarugaju 76,
30.352384,-2.079818,Cyarugaju 37,
30.352971,-2.0786835,Cyarugaju 46,
30.350398,-2.0749654,Cyarugaju 75,
30.350154,-2.0749992,Cyarugaju 68,
30.350911,-2.0749489,Cyarugaju 42,
30.351046,-2.0748886,Cyarugaju 11,
30.351105,-2.0749107,Cyarugaju 10,seems have radio
30.350302,-2.0752612,Cyarugaju 9,
30.350651,-2.0759313,Cyarugaju 6,
30.350641,-2.0761562,Cyarugaju 70,
30.350904,-2.0762597,Cyarugaju 66,
30.351452,-2.0759374,Cyarugaju 63,
30.352081,-2.0757812,Cyarugaju 64,
30.35224,-2.0755256,Cyarugaju 33,
30.352693,-2.0753001,Cyarugaju 32,
30.353061,-2.0756177,Cyarugaju 15,
30.353918,-2.0762701,Cyarugaju 50,
30.354042,-2.0773788,Cyarugaju 31,
30.354576,-2.0779407,Cyarugaju 29,
30.354903,-2.078396,Cyarugaju 47,
30.354929,-2.0788785,Cyarugaju 49,
30.354359,-2.0760322,Cyarugaju 51,
30.354048,-2.0759139,Cyarugaju 52,
30.357057,-2.0781373,Cyarugaju 48,
30.355803,-2.076783,Cyarugaju 53,
30.3563,-2.0771808,Cyarugaju 27,
30.35676,-2.0778837,Cyarugaju 18,
30.354805,-2.0773423,Cyarugaju 28,
30.354314,-2.0771674,Cyarugaju 30,
30.352865,-2.06609,Kajevuba 87,
30.339008,-2.0759089,Runzenze 73,
30.338531,-2.0754857,Runzenze 15,
30.338907,-2.0753842,Runzenze 67,
30.338805,-2.075417,Runzenze 47,
30.338481,-2.0751637,Runzenze 37,
30.337911,-2.0753242,Runzenze 41,
30.337302,-2.0755701,Runzenze 31,
30.337136,-2.0756057,Runzenze 54,
30.337262,-2.0758603,Runzenze 38,
30.336896,-2.0756425,Runzenze 57,
30.336749,-2.0756794,Runzenze 62,
30.336695,-2.075938,Runzenze 42,
30.336496,-2.0762094,Runzenze 43,
30.336398,-2.0757089,Runzenze 3,
30.336005,-2.0758248,Runzenze 63,
30.336052,-2.0761357,Runzenze 2,
30.335146,-2.0767304,Runzenze 69,
30.334966,-2.0763833,Runzenze 58,
30.336293,-2.0752043,Runzenze 48,
30.336509,-2.0751352,Runzenze 77,
30.342615,-2.076118,Runzenze 27,
30.344859,-2.0739307,Runzenze 76,
30.346108,-2.0728485,Runzenze 60,
30.343675,-2.0726823,Runzenze 75,
30.343494,-2.0730321,Runzenze 4,
30.343274,-2.0712302,Runzenze 74,
30.343095,-2.07107,Runzenze 30,
30.342848,-2.0709356,Runzenze 72,
30.342711,-2.070673,Runzenze 6,
30.342506,-2.0704143,Runzenze 56,
30.341829,-2.0708288,Runzenze 22,
30.341714,-2.0709464,Runzenze 14,
30.340992,-2.0708482,Runzenze 71,
30.34122,-2.0713689,Runzenze 23,
30.340266,-2.0724769,Runzenze 28,
30.341626,-2.0740483,Runzenze 25,
30.341764,-2.0743318,Runzenze 53,
30.341232,-2.0740939,Runzenze 16,
30.337738,-2.0756797,Runzenze 70,
30.336689,-2.0797191,Runzenze 26,
30.336478,-2.0796029,Runzenze 21,
30.337583,-2.0804968,Runzenze 19,
30.333594,-2.0802063,Runzenze 36,
30.334684,-2.0790112,Runzenze 59,
30.334436,-2.0764996,Runzenze 1,
30.334626,-2.0763508,Runzenze 46,
30.334129,-2.077106,Runzenze 11,
30.333719,-2.0756197,Runzenze 34,
